,season,week,home,away,game_result,yppa_diff,rush_diff,drive_points_diff,turnover_diff,sack_yards_diff,sack_times_diff
3307,2014,8,Broncos,Chargers,1,2.1999999999999993,0.5,1.59,-2,-7,-2
3308,2014,8,Falcons,Lions,0,1.0,0.3999999999999999,-0.10999999999999988,0,15,2
3309,2014,8,Bengals,Ravens,1,3.0,-0.7999999999999998,0.27,0,19,1
3310,2014,8,Titans,Texans,0,1.5999999999999996,-2.5,-1.08,2,-25,-3
3311,2014,8,Chiefs,Rams,1,2.8000000000000007,-0.20000000000000018,2.51,0,-36,-5
3312,2014,8,Patriots,Bears,1,3.0,-2.1000000000000005,3.01,-2,-7,-2
3313,2014,8,Jets,Bills,0,-9.4,3.1999999999999997,-1.34,6,-4,0
3314,2014,8,Buccaneers,Vikings,0,0.10000000000000053,-1.5000000000000004,-0.5,2,6,4
3315,2014,8,Panthers,Seahawks,0,0.9000000000000004,-0.8999999999999995,-0.43999999999999995,0,11,2
3316,2014,8,Jaguars,Dolphins,0,-0.1999999999999993,-0.2999999999999998,-1.62,2,2,1
3317,2014,9,Cardinals,Eagles,1,1.2000000000000002,-1.3000000000000003,0.42000000000000015,-2,0,0
3318,2014,9,Browns,Raiders,1,3.9000000000000004,-2.0,0.77,-3,-9,-3
3319,2014,9,Steelers,Colts,1,2.0999999999999996,-2.5999999999999996,2.0199999999999996,0,-15,-2
3320,2014,9,Saints,Packers,1,-0.5999999999999996,1.5,2.1000000000000005,-2,-15,-2
3321,2014,9,Cowboys,Redskins,0,-2.9000000000000004,2.8,-0.27,1,41,2
3322,2014,9,Panthers,Saints,0,-3.5,2.2,-1.6399999999999997,0,2,0
3323,2014,9,Bengals,Jaguars,1,0.40000000000000036,0.2999999999999998,0.98,1,-13,0
3324,2014,9,Browns,Buccaneers,1,0.5,-2.1999999999999997,0.27,0,18,2
3325,2014,9,Cowboys,Cardinals,0,-1.7000000000000002,0.20000000000000018,-0.8499999999999999,1,-3,-1
3326,2014,9,Chiefs,Jets,1,0.09999999999999964,0.10000000000000053,1.89,0,-7,-2
3327,2014,9,Dolphins,Chargers,1,3.0,1.1999999999999997,3.36,-4,-20,-4
3328,2014,9,Vikings,Redskins,1,-2.0,-0.5,0.4700000000000002,-1,-10,-3
3329,2014,9,Texans,Eagles,0,-1.8999999999999995,-0.39999999999999947,-0.6700000000000002,-3,-12,0
3330,2014,9,49ers,Rams,0,1.2999999999999998,0.3999999999999999,-0.2500000000000001,0,51,7
3331,2014,10,Patriots,Broncos,1,-1.2000000000000002,0.10000000000000009,1.9100000000000001,-1,-8,0
3332,2014,10,Seahawks,Raiders,1,0.5,1.7999999999999998,0.45999999999999996,-3,-3,0
3333,2014,10,Steelers,Ravens,1,2.6999999999999993,-1.2999999999999998,1.6700000000000002,-1,-15,-1
3334,2014,10,Giants,Colts,0,-0.7999999999999998,0.3000000000000007,-1.0699999999999998,1,1,2
3335,2014,10,Bengals,Browns,0,-6.6,0.6000000000000001,-1.79,3,14,2
3336,2014,10,Bills,Chiefs,0,0.09999999999999964,-0.2999999999999998,-0.22999999999999998,2,-20,-5
3337,2014,10,Lions,Dolphins,1,2.2,0.6999999999999997,0.3700000000000001,-1,-10,0
3338,2014,10,Saints,49ers,0,0.2999999999999998,-0.09999999999999964,-0.21999999999999997,2,-19,-2
3339,2014,10,Jets,Steelers,1,-0.6999999999999993,2.1,0.52,-4,-10,2
3340,2014,10,Buccaneers,Falcons,0,-0.2999999999999998,0.10000000000000009,-0.8100000000000003,3,13,3
3341,2014,10,Jaguars,Cowboys,0,-1.8000000000000007,-2.0,-0.8999999999999999,2,22,3
3342,2014,10,Ravens,Titans,1,0.7000000000000002,1.4000000000000004,1.1099999999999999,-2,-28,-4
3343,2014,10,Raiders,Broncos,0,-3.1000000000000005,-2.4000000000000004,-1.6,1,0,0
